pair,avg_rounds,n_games
S1_NeverPeek_vs_S1_NeverPeek,17.19,2000
S1_NeverPeek_vs_S2_AlwaysPeek,12.36,2000
S1_NeverPeek_vs_S3_MarginalPeek,17.39,2000
S1_NeverPeek_vs_S4_BluffReveal,15.70,2000
S1_NeverPeek_vs_S5_HonestValue,19.91,2000
S1_NeverPeek_vs_S6_ShortStackPush,16.40,2000
S1_NeverPeek_vs_S7_SignalReader,16.93,2000
S1_NeverPeek_vs_S8_SignalBlind,17.33,2000
S2_AlwaysPeek_vs_S2_AlwaysPeek,10.71,2000
S2_AlwaysPeek_vs_S3_MarginalPeek,13.14,2000
S2_AlwaysPeek_vs_S4_BluffReveal,11.22,2000
S2_AlwaysPeek_vs_S5_HonestValue,15.12,2000
S2_AlwaysPeek_vs_S6_ShortStackPush,12.71,2000
S2_AlwaysPeek_vs_S7_SignalReader,12.66,2000
S2_AlwaysPeek_vs_S8_SignalBlind,12.72,2000
S3_MarginalPeek_vs_S3_MarginalPeek,17.03,2000
S3_MarginalPeek_vs_S4_BluffReveal,15.78,2000
S3_MarginalPeek_vs_S5_HonestValue,19.64,2000
S3_MarginalPeek_vs_S6_ShortStackPush,16.00,2000
S3_MarginalPeek_vs_S7_SignalReader,17.37,2000
S3_MarginalPeek_vs_S8_SignalBlind,17.24,2000
S4_BluffReveal_vs_S4_BluffReveal,14.45,2000
S4_BluffReveal_vs_S5_HonestValue,18.89,2000
S4_BluffReveal_vs_S6_ShortStackPush,14.80,2000
S4_BluffReveal_vs_S7_SignalReader,15.91,2000
S4_BluffReveal_vs_S8_SignalBlind,15.83,2000
S5_HonestValue_vs_S5_HonestValue,24.12,2000
S5_HonestValue_vs_S6_ShortStackPush,18.06,2000
S5_HonestValue_vs_S7_SignalReader,20.02,2000
S5_HonestValue_vs_S8_SignalBlind,19.61,2000
S6_ShortStackPush_vs_S6_ShortStackPush,15.81,2000
S6_ShortStackPush_vs_S7_SignalReader,16.29,2000
S6_ShortStackPush_vs_S8_SignalBlind,15.94,2000
S7_SignalReader_vs_S7_SignalReader,17.06,2000
S7_SignalReader_vs_S8_SignalBlind,16.85,2000
S8_SignalBlind_vs_S8_SignalBlind,17.12,2000
